City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2022-06-05 20:57:20,-33.65,115.3333,55.0,74,100,9.28
68,Bambous Virieux,MU,2022-06-05 20:55:09,-20.3428,57.7575,73.22,78,75,9.22
69,Timmins,CA,2022-06-05 20:53:20,48.4669,-81.3331,67.82,37,75,2.3
70,Pawa,PH,2022-06-05 20:57:21,13.1747,123.7328,76.62,90,48,0.78
71,New Norfolk,AU,2022-06-05 20:57:21,-42.7826,147.0587,48.88,82,100,4.0
72,Ayr,GB,2022-06-05 20:57:22,55.4627,-4.6339,57.18,62,0,5.75
73,Labuhan,ID,2022-06-05 20:57:22,-6.8844,112.2051,77.72,88,95,6.8
74,Muroto,JP,2022-06-05 20:57:23,33.2833,134.15,70.48,94,100,14.67
75,Ilulissat,GL,2022-06-05 20:57:23,69.2167,-51.1,38.75,54,9,11.54
76,Holme,DK,2022-06-05 20:57:24,56.1138,10.1725,58.57,81,100,7.31
77,Pisco,PE,2022-06-05 20:57:24,-13.7,-76.2167,71.65,64,0,16.11
78,Thompson,CA,2022-06-05 20:57:25,55.7435,-97.8558,60.96,44,75,11.5
79,Djibo,BF,2022-06-05 20:57:25,14.1022,-1.6306,97.68,14,48,2.1
80,Tepalcingo,MX,2022-06-05 20:57:25,18.6,-98.85,88.21,39,100,4.76
81,Pacific Grove,US,2022-06-05 20:57:26,36.6177,-121.9166,70.43,88,95,11.99
82,Shihezi,CN,2022-06-05 20:57:26,44.3,86.0333,66.49,42,1,4.85
83,Laurel,US,2022-06-05 20:57:27,39.0993,-76.8483,81.88,38,0,4.61
84,Walvis Bay,NA,2022-06-05 20:56:20,-22.9575,14.5053,76.15,22,100,4.61
85,Norman Wells,CA,2022-06-05 20:57:27,65.282,-126.8329,46.44,61,75,8.05
86,Purranque,CL,2022-06-05 20:57:28,-40.9167,-73.1667,49.33,89,100,3.76
87,Beira,MZ,2022-06-05 20:57:28,-19.8436,34.8389,73.49,64,40,23.02
88,Marsh Harbour,BS,2022-06-05 20:57:28,26.5412,-77.0636,80.53,70,0,8.77
89,San Ramon De La Nueva Oran,AR,2022-06-05 20:57:29,-23.1322,-64.326,63.43,63,94,4.32
90,Padilla,CO,2022-06-05 20:57:29,3.2204,-76.3139,83.77,81,98,1.99
91,Hammerfest,NO,2022-06-05 20:57:30,70.6634,23.6821,43.25,81,75,6.91
92,Hermanus,ZA,2022-06-05 20:58:30,-34.4187,19.2345,57.79,61,23,8.32
93,Dikson,RU,2022-06-05 20:58:31,73.5069,80.5464,29.16,92,100,6.38
