City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bambous Virieux,MU,2022-05-31 18:21:44,-20.3428,57.7575,75.45,57,40,17.27
67,Narsaq,GL,2022-05-31 18:21:44,60.9167,-46.05,59.22,58,100,4.12
68,Ribeira Grande,PT,2022-05-31 18:21:44,38.5167,-28.7,64.8,68,40,16.11
69,Kodinsk,RU,2022-05-31 18:21:45,58.6881,99.1844,43.83,79,37,5.55
70,Amapa,BR,2022-05-31 18:21:45,1.0,-52.0,82.04,78,90,3.98
71,Antalaha,MG,2022-05-31 18:21:46,-14.9003,50.2788,69.57,78,1,7.9
72,Lagoa,PT,2022-05-31 18:21:46,39.05,-27.9833,60.4,83,33,20.71
73,Tuktoyaktuk,CA,2022-05-31 18:21:47,69.4541,-133.0374,32.0,86,100,9.22
74,Moyo,UG,2022-05-31 18:21:47,3.6609,31.7247,70.0,74,75,2.33
75,Hamilton,US,2022-05-31 18:21:48,39.1834,-84.5333,90.14,54,40,11.5
76,Airai,TL,2022-05-31 18:21:48,-8.9266,125.4092,60.51,93,100,1.59
77,Provideniya,RU,2022-05-31 18:21:49,64.3833,-173.3,43.72,69,51,1.88
78,Santa Ana,US,2022-05-31 18:21:15,33.7456,-117.8678,80.4,59,20,12.66
79,Karaton,ID,2022-05-31 18:21:50,-6.3424,106.1045,73.74,94,98,3.42
80,Yerbogachen,RU,2022-05-31 18:21:50,61.2767,108.0108,46.18,78,53,3.15
81,Berlevag,NO,2022-05-31 18:21:47,70.8578,29.0864,48.0,76,0,17.27
82,Vardo,NO,2022-05-31 18:21:51,70.3705,31.1107,40.98,87,100,8.05
83,Salalah,OM,2022-05-31 18:21:51,17.0151,54.0924,84.29,79,40,6.91
84,Linhares,BR,2022-05-31 18:21:51,-19.3911,-40.0722,87.87,40,3,2.37
85,Bluff,NZ,2022-05-31 18:21:52,-46.6,168.3333,48.79,80,100,8.25
86,Yaan,NG,2022-05-31 18:21:52,7.3833,8.5667,81.73,67,93,3.58
87,Namatanai,PG,2022-05-31 18:21:53,-3.6667,152.4333,78.57,80,39,2.95
88,Hithadhoo,MV,2022-05-31 18:21:53,-0.6,73.0833,83.91,69,93,10.11
89,Esperance,AU,2022-05-31 18:21:53,-33.8667,121.9,56.21,73,95,5.12
90,Bubaque,GW,2022-05-31 18:21:54,11.2833,-15.8333,80.51,76,52,10.51
